Date,Furnace,SP_Power,Avg_Load,Ore_qty,Flux_qty,Reductant_qty,Additive_qty,Cr%,Cr recovery,Cr_recovery_pct,Total_Charge,Ore_fraction,Flux_fraction,Reductant_fraction,Additive_fraction,Reductant_Ore_ratio,Flux_Ore_ratio,Additive_Total_ratio,Flux_Reductant_ratio,Power_per_Charge,Power_per_Ore,Load_Power_ratio,Power_per_Load,Energy_Intensity,Ore_Cost,Flux_Cost,Reductant_Cost,Additive_Cost,Total_Material_Cost,Power_Cost,Est_Metal_kg,Material_Cost_per_ton,Power_Cost_per_ton,Total_Cost_per_ton,Cost_per_Cr_recovery,Material_Cost_Fraction,Reductant_Cost_Fraction,Power_Load_interaction,Ore_Reductant_interaction,Flux_Ore_interaction,Power_Ore_interaction,Cr_deviation,Cr_deviation_abs,Cr_normalized,Cr_in_spec,Power_Efficiency_Score,Recovery_Efficiency_Score,Cost_Efficiency_Score,Overall_Efficiency_Score,Reductant_Ore_OK,Flux_Ore_OK,Power_OK,Recovery_OK,All_Constraints_OK,Fur_Fur_1,Fur_Fur_2,Fur_Fur_3,Fur_Fur_4,Fur_Fur_5,Furnace_Num,Date_parsed,Day_of_Week,Day_of_Month,Month,Week_of_Year
30-08-2025 00:00,Fur_4,3518,6.3,102.529,18.16,22.68,12.92,55.2,84.24%,84.24,156.289,0.6560218569445067,0.11619499772856696,0.14511577910153628,0.08266736622539014,0.22120570549595037,0.17712061780451757,0.08266736622539014,0.8007054320676618,22.509581608430537,34.312243030632864,1.7907902217168847,558.4126097757762,141.8103641331124,461.3805,50.848,408.24,45.22,965.6885,144062.1,54.70114999999999,17653.897587162246,2633621.0481863734,2657774.945773536,31179.903164870204,0.006658644594859832,0.4227450156028575,22163.399999999998,2325.35772,1861.92664,360697.022,-2.799999999999997,2.799999999999997,0.34666666666666685,0,0.47,0.0,1.0,0.34099999999999997,1,1,1,0,0,False,False,False,True,False,4.0,2025-08-30,5,30,8,35
30-08-2025 00:00,Fur_5,3519,6.23,102.565,18.141,22.666,12.35,54.87,82.81%,82.81,155.72199999999998,0.6586416819717189,0.11649606349777167,0.1455542569450688,0.07930799758544073,0.22099156416914578,0.17687320063498072,0.07930799758544073,0.8003617400352182,22.5979630366936,34.30994945342028,1.7703893151463483,564.8474213728055,140.78530971860113,461.5425,50.794799999999995,407.988,43.225,963.5503,142501.905,54.50269999999999,17678.946180647934,2614584.3233454498,2638763.2695260975,31485.064664432615,0.00671625303795345,0.42342158992633805,21923.370000000003,2324.73829,1860.6316649999999,360926.235,-3.1300000000000026,3.1300000000000026,0.3246666666666665,0,0.4683333333333334,0.0,1.0,0.3405,1,1,1,0,0,False,False,False,False,True,5.0,2025-08-30,5,30,8,35
31-08-2025 00:00,Fur_1,3508,6.94,113.407,20.292,26.25,11.69,57.32,83.91%,83.91,171.639,0.6607297875191536,0.11822487896107528,0.15293726950168668,0.06810806401808446,0.23146719134209362,0.17893075225576244,0.06810806401808446,0.7730285419798651,20.43824538712064,30.932834561069118,1.9783352337514255,505.47543148768995,141.84142298661726,510.3315,56.8176,472.5,40.915,1080.5641,158245.88,60.07365,17987.322228631023,2634197.8554657493,2658685.1776943803,31311.802822922866,0.006782076296900171,0.43727160656179487,24345.52,2976.9337499999997,2301.254844,397831.756,-0.6799999999999997,0.6799999999999997,0.48800000000000004,0,0.4866666666666667,0.0,1.0,0.346,1,1,1,0,0,True,False,False,False,False,1.0,2025-08-31,6,31,8,35
31-08-2025 00:00,Fur_2,3273,8.25,135.598,23.951,31.368,13.88,56.73,90.05%,90.05,204.797,0.66210930824182,0.11694995532161116,0.1531663061470627,0.0677744302895062,0.23133084388168818,0.17663239740532752,0.0677744302895062,0.7635488152400913,15.981679419132117,24.137523974265665,2.5206232813932172,396.7272246391243,131.84885520783996,610.191,67.0628,564.624,48.580000000000005,1290.4578000000001,175514.625,71.67895,18003.30222471172,2448621.5967170275,2473124.898941739,27162.272366191533,0.0072987596259308455,0.437537748231674,27002.25,4253.438064,3247.707698,443812.254,-1.2700000000000031,1.2700000000000031,0.44866666666666644,0,0.8783333333333333,0.721428571428571,1.0,0.8242142857142853,1,1,1,1,1,False,True,False,False,False,2.0,2025-08-31,6,31,8,35
31-08-2025 00:00,Fur_3,3511,8.08,129.587,20.202,29.395,13.57,56.68,86.82%,86.82,192.754,0.6722921443912967,0.1048071635348683,0.15250007781939676,0.0704006142544383,0.2268360234681255,0.15589526606916387,0.0704006142544383,0.6872597146705319,18.214926797887465,27.09376691262421,2.301338649957277,434.52964919187514,147.17660852693072,583.1415,56.5656,529.11,47.495000000000005,1216.3121,184397.72,67.4639,18029.080737994693,2733279.872642999,2757808.9533809936,31402.971457310337,0.006552910285062441,0.43501170464389854,28368.88,3809.209865,2617.916574,454979.95699999994,-1.3200000000000003,1.3200000000000003,0.4453333333333333,0,0.4816666666666667,0.259999999999999,1.0,0.47449999999999953,1,1,1,1,1,False,False,True,False,False,3.0,2025-08-31,6,31,8,35
31-08-2025 00:00,Fur_4,3136,6.66,106.873,18.675,23.696,10.6,56.95,92.79%,92.79,159.844,0.668608142939366,0.11683266184529918,0.14824453842496435,0.06631465679037062,0.2217211061566429,0.17474011046063917,0.06631465679037062,0.7881076642425867,19.619128650434174,29.34323889716543,2.123724489795918,470.8708001695495,130.6633968118916,480.92850000000004,52.29,426.528,37.1,996.8465000000001,135757.44,55.94539999999999,17818.203105170403,2426605.940792273,2450924.143897443,26132.04119732853,0.007289325442826247,0.4278773111005556,20885.760000000002,2532.4626080000003,1995.8532750000002,335153.728,-1.0499999999999972,1.0499999999999972,0.46333333333333354,0,1.0,1.0,1.0,1.0,1,1,0,1,0,False,False,False,True,False,4.0,2025-08-31,6,31,8,35
31-08-2025 00:00,Fur_5,3509,6.53,98.435,17.224,21.854,11.41,57.23,92.40%,92.4,148.923,0.6609791637289069,0.11565708453361805,0.14674697662550445,0.07661677511197061,0.2220145250976327,0.17497841037254624,0.07661677511197061,0.7881394349711982,23.562512170719096,35.64788910806229,1.8609290396124254,537.3659207709156,153.8632044747957,442.9575,48.227199999999996,393.37199999999996,39.935,924.4916999999998,148939.505,52.12305,17736.71533035768,2857459.5116747776,2881696.2270051353,30853.278661725217,0.00616887124564455,0.42550084549163614,22913.77,2151.1984899999998,1695.44444,345408.415,-0.7700000000000031,0.7700000000000031,0.4819999999999998,0,0.485,1.0,0.9903589801407795,0.8435717960281559,1,1,1,1,1,False,False,False,False,True,5.0,2025-08-31,6,31,8,35
01-09-2025 00:00,Fur_1,3548,7.17,117.572,21.51,26.854,11.76,57.1,84.54%,84.54,177.69599999999997,0.6616468575544752,0.12104943273905999,0.15112326670268325,0.06618044300378174,0.22840472027009218,0.18295172164331883,0.06618044300378174,0.8009979592985046,19.966684674950482,30.1772528307994,2.020856820744081,494.8395404686833,143.16112911939496,529.0740000000001,60.228,483.37199999999996,41.16,1113.834,165354.54,62.19359999999998,17909.141776645836,2658706.683645907,2683115.825422553,31366.79711740183,0.006690964615296837,0.43397130990793953,25439.16,3157.278488,2528.9737200000004,417145.456,-0.8999999999999986,0.8999999999999986,0.47333333333333344,0,0.42000000000000004,0.0,1.0,0.326,1,1,1,0,0,True,False,False,False,False,1.0,2025-09-01,0,1,9,36
01-09-2025 00:00,Fur_2,3514,8.66,144.025,22.598,33.379,12.26,56.96,83.95%,83.95,212.26199999999997,0.6785246534942666,0.10646276771160171,0.15725377128266013,0.05775880751147168,0.23175837367291527,0.1569033143072153,0.05775880751147168,0.6770124726021609,16.555012201901427,24.398541750400682,2.464428002276608,405.7736251993505,143.36640566846634,648.1125000000001,63.27439999999999,600.822,42.91,1355.1189000000002,197803.06,74.29169999999999,18240.515427699196,2662518.962414375,2687259.4778420744,31633.425283602992,0.006804234239761871,0.44337216461227125,30431.24,4807.410475,3254.67695,506103.85000000003,-1.0399999999999991,1.0399999999999991,0.4640000000000001,0,0.4766666666666667,0.0,1.0,0.34299999999999997,1,1,1,0,0,False,True,False,False,False,2.0,2025-09-01,0,1,9,36
01-09-2025 00:00,Fur_3,3547,8.57,139.504,22.692,31.893,13.72,57.12,85.87%,85.87,207.809,0.6713087498616518,0.10919642556385913,0.1534726599906645,0.06602216458382458,0.22861709894614424,0.16266200135722272,0.06602216458382458,0.7115040694978814,17.068558147144735,25.42579406020047,2.4161263039188046,413.8855993132323,146.27754332103038,627.7679999999999,63.5376,574.0740000000001,48.02,1313.3996,197585.635,72.73315,18057.785205233104,2716582.9473905643,2741140.732595797,31554.51516744327,0.006603348289956958,0.4370901285488438,30397.79,4449.201072,3165.6247679999997,494820.68799999997,-0.8800000000000026,0.8800000000000026,0.4746666666666665,0,0.42166666666666663,0.12428571428571493,1.0,0.38864285714285746,1,1,1,1,1,False,False,True,False,False,3.0,2025-09-01,0,1,9,36
